,n,p,k,sigma,lambda,method,time,error,numiters
1058,500,250,125,1,81.73683915073235,AT,0.19913887977600098,0.029779873870165022,133
1059,500,250,125,1,81.73683915073235,LLM,0.17212128639221191,0.027269328733021243,94
1060,500,250,125,1,0,AT,0.24517226219177246,0.007969914027237086,163
1061,500,250,125,1,0,LLM,0.309218168258667,0.008002150330707891,167
1062,500,250,125,1,68.61629012281536,AT,0.1891336441040039,0.024210484209420038,126
1063,500,250,125,1,68.61629012281536,LLM,0.17212176322937012,0.020337136244066918,91
1064,500,250,125,1,0,AT,0.2401719093322754,0.00944473393068421,158
1065,500,250,125,1,0,LLM,0.3092167377471924,0.009370648155460203,168
1066,500,250,125,1,63.73943357696482,AT,0.22215795516967773,0.025964806851584112,140
1067,500,250,125,1,63.73943357696482,LLM,0.16211533546447754,0.023102992577512367,90
1068,500,250,125,1,0,AT,0.21915459632873535,0.00800932674238255,145
1069,500,250,125,1,0,LLM,0.27419519424438477,0.008022323102922052,145
1070,500,250,125,1,61.59283362383645,AT,0.19814133644104004,0.025351959118682967,122
1071,500,250,125,1,61.59283362383645,LLM,0.1701188087463379,0.021293484324117144,93
1072,500,250,125,1,0,AT,0.28821611404418945,0.008408049454733928,185
1073,500,250,125,1,0,LLM,0.336223840713501,0.008401312977665795,184
1074,500,250,125,1,86.36207684515422,AT,0.20414423942565918,0.03507986331548447,128
1075,500,250,125,1,86.36207684515422,LLM,0.18114185333251953,0.0315161966396726,99
1076,500,250,125,1,0,AT,0.23816704750061035,0.009436326400942606,160
1077,500,250,125,1,0,LLM,0.29320859909057617,0.00942770403478745,158
1078,500,250,125,1,57.35432226708639,AT,0.2041454315185547,0.021434305785018246,121
1079,500,250,125,1,57.35432226708639,LLM,0.19313430786132812,0.01790580461000825,94
1080,500,250,125,1,0,AT,0.2701902389526367,0.009277301369822634,166
1081,500,250,125,1,0,LLM,0.3192253112792969,0.009278225415500281,161
1082,500,250,125,1,62.36521233947675,AT,0.19513821601867676,0.026429155910201108,128
1083,500,250,125,1,62.36521233947675,LLM,0.1991405487060547,0.022645147957710353,102
1084,500,250,125,1,0,AT,0.2521786689758301,0.00808886368392732,163
1085,500,250,125,1,0,LLM,0.3162229061126709,0.008087909758002266,161
1086,500,250,125,1,75.24246927883263,AT,0.22716021537780762,0.026992054845914673,140
1087,500,250,125,1,75.24246927883263,LLM,0.17112255096435547,0.023911032006820855,89
1088,500,250,125,1,0,AT,0.2521800994873047,0.008328783605629922,167
1089,500,250,125,1,0,LLM,0.33423423767089844,0.008375159107950055,173
1090,500,250,125,1,71.73815649712036,AT,0.22115564346313477,0.026492570689163705,131
1091,500,250,125,1,71.73815649712036,LLM,0.17312240600585938,0.023068330559753138,90
1092,500,250,125,1,0,AT,0.261185884475708,0.008893966325913568,170
1093,500,250,125,1,0,LLM,0.3132212162017822,0.008908067202176247,171
1094,500,250,125,1,62.80712745181809,AT,0.2011575698852539,0.024667768769317228,130
1095,500,250,125,1,62.80712745181809,LLM,0.19011974334716797,0.021284458407205064,97
1096,500,250,125,1,0,AT,0.237168550491333,0.008932399068159527,157
1097,500,250,125,1,0,LLM,0.31021809577941895,0.009008640312980133,164
1098,500,250,125,1,73.1288011709301,AT,0.20514488220214844,0.02397906947325475,136
1099,500,250,125,1,73.1288011709301,LLM,0.16912007331848145,0.02106732575991059,93
1100,500,250,125,1,0,AT,0.25016283988952637,0.008319022224045769,160
1101,500,250,125,1,0,LLM,0.33124709129333496,0.008491494546966929,174
1102,500,250,125,1,64.93565700996685,AT,0.19213604927062988,0.025315113626637506,130
1103,500,250,125,1,64.93565700996685,LLM,0.1941370964050293,0.022677236601195066,97
1104,500,250,125,1,0,AT,0.2701888084411621,0.008522715411758981,165
1105,500,250,125,1,0,LLM,0.3212282657623291,0.008355769973178277,179
1106,500,250,125,1,68.92496497902745,AT,0.22317051887512207,0.026409803791013816,144
1107,500,250,125,1,68.92496497902745,LLM,0.19112229347229004,0.02347367330389411,94
1108,500,250,125,1,0,AT,0.26518678665161133,0.008941495133770162,164
1109,500,250,125,1,0,LLM,0.29821038246154785,0.009026031854027065,159
1110,500,250,125,1,70.60882782546533,AT,0.22115826606750488,0.02627512602472322,135
1111,500,250,125,1,70.60882782546533,LLM,0.16011333465576172,0.023263116668280938,87
1112,500,250,125,1,0,AT,0.2561817169189453,0.008408266160188818,166
1113,500,250,125,1,0,LLM,0.3282296657562256,0.008402786855522327,164
1114,500,250,125,1,61.57442991319544,AT,0.1991415023803711,0.0219856986365687,130
1115,500,250,125,1,61.57442991319544,LLM,0.1721208095550537,0.018603163669302,94
1116,500,250,125,1,0,AT,0.2831995487213135,0.007875546956283695,171
1117,500,250,125,1,0,LLM,0.30121326446533203,0.00790807024974272,167
1118,500,250,125,1,87.30040266564087,AT,0.199141263961792,0.02970010057602952,131
1119,500,250,125,1,87.30040266564087,LLM,0.18613076210021973,0.027017408086809625,93
1120,500,250,125,1,0,AT,0.242173433303833,0.009764613228097163,157
1121,500,250,125,1,0,LLM,0.30221128463745117,0.00977521991514109,158
1122,500,250,125,1,70.66580675419718,AT,0.18913507461547852,0.024226256553214802,127
1123,500,250,125,1,70.66580675419718,LLM,0.18713092803955078,0.021272965597702576,94
1124,500,250,125,1,0,AT,0.28319883346557617,0.009310926570559956,178
1125,500,250,125,1,0,LLM,0.3452439308166504,0.00931834534159188,180
1126,500,250,125,1,75.27661365274626,AT,0.21616601943969727,0.029692994459236552,141
1127,500,250,125,1,75.27661365274626,LLM,0.1781139373779297,0.026814811407782076,92
1128,500,250,125,1,0,AT,0.24517226219177246,0.008216342012692189,162
1129,500,250,125,1,0,LLM,0.3162233829498291,0.00821356998824519,164
1130,500,250,125,1,79.82011750534659,AT,0.199141263961792,0.030380170104331142,127
1131,500,250,125,1,79.82011750534659,LLM,0.17312240600585938,0.026995514681599667,89
1132,500,250,125,1,0,AT,0.22816061973571777,0.008637165554889168,155
1133,500,250,125,1,0,LLM,0.30321407318115234,0.00866464020465262,157
1134,500,250,125,1,57.7716216628248,AT,0.21215009689331055,0.023806558765618664,136
1135,500,250,125,1,57.7716216628248,LLM,0.1921372413635254,0.020579035339921066,96
1136,500,250,125,1,0,AT,0.2521631717681885,0.008860195214702141,165
1137,500,250,125,1,0,LLM,0.2992126941680908,0.008857842741275457,168
1138,500,250,125,1,66.76991579175849,AT,0.2251570224761963,0.02610380256490835,144
1139,500,250,125,1,66.76991579175849,LLM,0.17412281036376953,0.022640087184647165,93
1140,500,250,125,1,0,AT,0.259183406829834,0.008638463372625603,165
1141,500,250,125,1,0,LLM,0.3192269802093506,0.008613401500224329,162
1142,500,250,125,1,66.58084877530825,AT,0.20914554595947266,0.02544929187238092,131
1143,500,250,125,1,66.58084877530825,LLM,0.16813302040100098,0.0216787809550082,92
1144,500,250,125,1,0,AT,0.2611713409423828,0.0089194744924334,164
1145,500,250,125,1,0,LLM,0.31522250175476074,0.008935063971653251,164
1146,500,250,125,1,65.53511616627254,AT,0.20214200019836426,0.02551871393622173,128
1147,500,250,125,1,65.53511616627254,LLM,0.17312359809875488,0.02294089738139475,94
1148,500,250,125,1,0,AT,0.2992119789123535,0.00974788452939464,186
1149,500,250,125,1,0,LLM,0.34324026107788086,0.009800526709728872,181
1150,500,250,125,1,69.07042752509292,AT,0.22215723991394043,0.025314065424501868,139
1151,500,250,125,1,69.07042752509292,LLM,0.19713926315307617,0.02274317394499824,100
1152,500,250,125,1,0,AT,0.27719545364379883,0.008787946885815589,171
1153,500,250,125,1,0,LLM,0.3112335205078125,0.008798563292141187,168
1154,500,250,125,1,77.12498900069698,AT,0.20113015174865723,0.028219329740521246,140
1155,500,250,125,1,77.12498900069698,LLM,0.1791388988494873,0.02497227770070776,90
1156,500,250,125,1,0,AT,0.2571685314178467,0.00986458136717671,172
1157,500,250,125,1,0,LLM,0.32523131370544434,0.00987435657123369,172
1158,500,250,125,1,106.84969229997552,AT,0.19415020942687988,0.03379080939885633,130
1159,500,250,125,1,106.84969229997552,LLM,0.1681065559387207,0.03189314037493387,88
1160,500,250,125,1,0,AT,0.23416638374328613,0.008465318165703317,155
1161,500,250,125,1,0,LLM,0.28620004653930664,0.00846277159566208,154
1162,500,250,125,1,76.18998370619084,AT,0.20415830612182617,0.02822257862542006,139
1163,500,250,125,1,76.18998370619084,LLM,0.1580979824066162,0.024881993634801314,90
1164,500,250,125,1,0,AT,0.24817681312561035,0.00935671291023899,152
1165,500,250,125,1,0,LLM,0.2942066192626953,0.009321399342806496,158
1166,500,250,125,1,68.66262353915539,AT,0.2081458568572998,0.026625710170218544,139
1167,500,250,125,1,68.66262353915539,LLM,0.1871337890625,0.023667686441503216,94
1168,500,250,125,1,0,AT,0.25517988204956055,0.007938932106885998,167
1169,500,250,125,1,0,LLM,0.30721592903137207,0.007944436552171695,167
