,n,p,k,sigma,lambda,method,time,error,numiters
1065,100,200,160,1,0,LLM,0.08505988121032715,0.6701231117222004,171
1066,100,200,160,1,26.414337654235034,AT,0.21365118026733398,0.9278017212824,514
1067,100,200,160,1,26.414337654235034,LLM,0.26718878746032715,0.9359709734189471,553
1068,100,200,160,1,0,AT,0.07054924964904785,0.7114396745910624,162
1069,100,200,160,1,0,LLM,0.07805538177490234,0.7114389936177962,163
1070,100,200,160,1,27.6724317928449,AT,0.14760279655456543,0.9473121045998814,390
1071,100,200,160,1,27.6724317928449,LLM,0.17962861061096191,0.9532722528529997,366
1072,100,200,160,1,0,AT,0.06904911994934082,0.6871093540877377,170
1073,100,200,160,1,0,LLM,0.07806849479675293,0.6871094378657703,168
1074,100,200,160,1,37.360876255909815,AT,0.15711188316345215,0.8986446365211792,371
1075,100,200,160,1,37.360876255909815,LLM,0.15662336349487305,0.903394600722459,313
1076,100,200,160,1,0,AT,0.06404495239257812,0.7079960379486099,161
1077,100,200,160,1,0,LLM,0.07555317878723145,0.7079960538743332,161
1078,100,200,160,1,32.819797168035656,AT,0.1511061191558838,0.9714538290304146,395
1079,100,200,160,1,32.819797168035656,LLM,0.20914816856384277,0.9793943958821093,414
1080,100,200,160,1,0,AT,0.06754779815673828,0.6652660844322479,161
1081,100,200,160,1,0,LLM,0.08356022834777832,0.6652660622574385,161
1082,100,200,160,1,24.23947601999654,AT,0.1391005516052246,0.9369781795034738,393
1083,100,200,160,1,24.23947601999654,LLM,0.19063305854797363,0.9427022681427691,395
1084,100,200,160,1,0,AT,0.06854772567749023,0.6941723971320082,169
1085,100,200,160,1,0,LLM,0.08005619049072266,0.6941724012917451,169
1086,100,200,160,1,26.10358427279608,AT,0.15160679817199707,0.973731932246938,367
1087,100,200,160,1,26.10358427279608,LLM,0.2416696548461914,0.9824279638126859,442
1088,100,200,160,1,0,AT,0.06654739379882812,0.7111837879581241,168
1089,100,200,160,1,0,LLM,0.08555984497070312,0.7111837906280705,168
1090,100,200,160,1,26.36447229401714,AT,0.1801285743713379,0.9406906169111349,426
1091,100,200,160,1,26.36447229401714,LLM,0.22566008567810059,0.9461565542930201,456
1092,100,200,160,1,0,AT,0.07305026054382324,0.6878866407241448,163
1093,100,200,160,1,0,LLM,0.08556079864501953,0.6878862921985945,162
1094,100,200,160,1,26.605782415241446,AT,0.14210009574890137,0.8949155549059782,336
